[{No.,1
Volume,0}
{No.,2472
Ticker,DFII
Company,FT Vest Bitcoin Strategy & Target Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,13.41
Change,0.00%
Volume,0}
{No.,2473
Ticker,DFIN
Company,Donnelley Financial Solutions Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,1163.12
P/E,41.03
Price,43.83
Change,0.00%
Volume,0}
{No.,2474
Ticker,DFIP
Company,Dimensional Inflation-Protected Securities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.08
Change,0.00%
Volume,0}
{No.,2475
Ticker,DFIS
Company,Dimensional International Small Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.34
Change,0.00%
Volume,0}
{No.,2476
Ticker,DFIV
Company,Dimensional International Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,55.21
Change,0.00%
Volume,0}
{No.,2477
Ticker,DFJ
Company,WisdomTree Japan SmallCap Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,110.64
Change,0.00%
Volume,0}
{No.,2478
Ticker,DFLI
Company,Dragonfly Energy Holdings Corp
Sector,Industrials
Industry,Electrical Equipment & Parts
Country,USA
Market Cap,28.51
P/E,
Price,2.36
Change,0.00%
Volume,0}
{No.,2479
Ticker,DFLV
Company,Dimensional US Large Cap Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.81
Change,0.00%
Volume,0}
{No.,2480
Ticker,DFNL
Company,Davis Select Financial ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.31
Change,0.00%
Volume,0}
{No.,2481
Ticker,DFNM
Company,Dimensional National Municipal Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.83
Change,0.00%
Volume,0}
{No.,2482
Ticker,DFNS
Company,T3 Defense Inc
Sector,Industrials
Industry,Aerospace & Defense
Country,USA
Market Cap,56.29
P/E,0.10
Price,1.93
Change,0.00%
Volume,0}
{No.,2483
Ticker,DFP
Company,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,450.61
P/E,11.67
Price,21.94
Change,0.00%
Volume,0}
{No.,2484
Ticker,DFSB
Company,Dimensional Global Sustainability Fixed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.59
Change,0.00%
Volume,0}
{No.,2485
Ticker,DFSC
Company,DEFSEC Technologies Inc
Sector,Industrials
Industry,Aerospace & Defense
Country,Canada
Market Cap,3.58
P/E,
Price,1.80
Change,0.00%
Volume,0}
{No.,2486
Ticker,DFSD
Company,Dimensional Short-Duration Fixed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.38
Change,0.00%
Volume,0}
{No.,2487
Ticker,DFSE
Company,Dimensional Emerging Markets Sustainability Core 1 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,45.73
Change,0.00%
Volume,0}
{No.,2488
Ticker,DFSI
Company,Dimensional International Sustainability Core 1 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,45.98
Change,0.00%
Volume,0}
{No.,2489
Ticker,DFSU
Company,Dimensional US Sustainability Core 1 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.51
Change,0.00%
Volume,0}
{No.,2490
Ticker,DFSV
Company,Dimensional US Small Cap Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.79
Change,0.00%
Volume,0}
{No.,2491
Ticker,DFTT
Company,DF Tactical 30 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.64
Change,0.00%
Volume,0}
{No.,2492
Ticker,DFTX
Company,Definium Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,1664.81
P/E,
Price,16.90
Change,0.00%
Volume,0}
{No.,2493
Ticker,DFUS
Company,Dimensional U.S. Equity Market ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,74.45
Change,0.00%
Volume,0}
{No.,2494
Ticker,DFUV
Company,Dimensional US Marketwide Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.16
Change,0.00%
Volume,0}
{No.,2495
Ticker,DFVE
Company,DoubleLine Fortune 500 Equal Weight ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.11
Change,0.00%
Volume,0}
{No.,2496
Ticker,DFVX
Company,Dimensional US Large Cap Vector ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,77.47
Change,0.00%
Volume,0}
{No.,2497
Ticker,DG
Company,Dollar General Corp
Sector,Consumer Defensive
Industry,Discount Stores
Country,USA
Market Cap,32947.39
P/E,25.84
Price,149.68
Change,0.00%
Volume,0}
{No.,2498
Ticker,DGCB
Company,Dimensional Global Credit ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,55.10
Change,0.00%
Volume,0}
{No.,2499
Ticker,DGICA
Company,Donegal Group Inc
Sector,Financial
Industry,Insurance - Property & Casualty
Country,USA
Market Cap,680.97
P/E,7.81
Price,18.94
Change,0.00%
Volume,0}
{No.,2500
Ticker,DGII
Company,Digi International
Sector,Technology
Industry,Communication Equipment
Country,USA
Market Cap,1840.69
P/E,43.66
Price,48.94
Change,0.00%
Volume,0}
{No.,2501
Ticker,DGIN
Company,VanEck Digital India ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.96
Change,0.00%
Volume,0}
{No.,2502
Ticker,DGJA
Company,FT Vest U.S. Equity Buffer & Digital Return ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.36
Change,0.00%
Volume,0}
{No.,2503
Ticker,DGLO
Company,First Trust RBA Deglobalization ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.85
Change,0.00%
Volume,0}
{No.,2504
Ticker,DGNX
Company,Diginex Ltd
Sector,Industrials
Industry,Consulting Services
Country,United Kingdom
Market Cap,135.61
P/E,
Price,0.65
Change,0.00%
Volume,0}
{No.,2505
Ticker,DGOC
Company,FT Vest U.S. Equity Buffer & Digital Return ETF - October
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,31.28
Change,0.00%
Volume,0}
{No.,2506
Ticker,DGP
Company,DB Gold Double Long ETN
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,202.01
Change,0.00%
Volume,0}
{No.,2507
Ticker,DGRE
Company,WisdomTree Emerging Markets Quality Dividend Growth Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.35
Change,0.00%
Volume,0}
{No.,2508
Ticker,DGRO
Company,iShares Core Dividend Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,73.50
Change,0.00%
Volume,0}
{No.,2509
Ticker,DGRS
Company,WisdomTree U.S. SmallCap Quality Dividend Growth Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,55.82
Change,0.00%
Volume,0}
{No.,2510
Ticker,DGRW
Company,WisdomTree U.S. Quality Dividend Growth Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,92.61
Change,0.00%
Volume,0}
{No.,2511
Ticker,DGS
Company,WisdomTree Emerging Markets SmallCap Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,63.56
Change,0.00%
Volume,0}
{No.,2512
Ticker,DGT
Company,State Street SPDR Global Dow ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,178.48
Change,0.00%
Volume,0}
{No.,2513
Ticker,DGX
Company,Quest Diagnostics
Sector,Healthcare
Industry,Diagnostics & Research
Country,USA
Market Cap,22859.19
P/E,23.47
Price,205.49
Change,0.00%
Volume,0}
{No.,2514
Ticker,DGXX
Company,Digi Power X Inc
Sector,Utilities
Industry,Utilities - Independent Power Producers
Country,USA
Market Cap,161.21
P/E,
Price,2.30
Change,0.00%
Volume,240}
{No.,2515
Ticker,DGZ
Company,DB Gold Short ETN
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,5.42
Change,0.00%
Volume,0}
{No.,2516
Ticker,DH
Company,Definitive Healthcare Corp
Sector,Healthcare
Industry,Health Information Services
Country,USA
Market Cap,220.98
P/E,
Price,1.56
Change,0.00%
Volume,0}
{No.,2517
Ticker,DHC
Company,Diversified Healthcare Trust
Sector,Real Estate
Industry,REIT - Healthcare Facilities
Country,USA
Market Cap,1619.96
P/E,
Price,6.69
Change,0.00%
Volume,0}
{No.,2518
Ticker,DHDG
Company,FT Vest U.S. Equity Quarterly 2.5 to 15 Buffer ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.41
Change,0.00%
Volume,0}
{No.,2519
Ticker,DHF
Company,BNY Mellon High Yield Strategies Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,186.21
P/E,12.19
Price,2.56
Change,0.00%
Volume,0}
{No.,2520
Ticker,DHI
Company,D.R. Horton Inc
Sector,Consumer Cyclical
Industry,Residential Construction
Country,USA
Market Cap,48174.78
P/E,15.10
Price,166.29
Change,0.00%
Volume,0}
{No.,2521
Ticker,DHIL
Company,Diamond Hill Investment Group
Sector,Financial
Industry,Asset Management
Country,USA
Market Cap,462.14
P/E,9.91
Price,170.81
Change,0.00%
Volume,0}
{No.,2522
Ticker,DHLX
Company,Diamond Hill Large Cap Concentrated ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,13.60
Change,0.00%
Volume,0}
{No.,2523
Ticker,DHR
Company,Danaher Corp
Sector,Healthcare
Industry,Diagnostics & Research
Country,USA
Market Cap,145260.78
P/E,40.74
Price,205.65
Change,-0.34%
Volume,645}
{No.,2524
Ticker,DHS
Company,WisdomTree U.S. High Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,112.94
Change,0.00%
Volume,0}
{No.,2525
Ticker,DHSB
Company,Day Hagan Smart Buffer ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.98
Change,0.00%
Volume,0}
{No.,2526
Ticker,DHT
Company,DHT Holdings Inc
Sector,Energy
Industry,Oil & Gas Midstream
Country,Bermuda
Market Cap,2681.32
P/E,12.72
Price,16.70
Change,2.64%
Volume,9633}
{No.,2527
Ticker,DHX
Company,DHI Group Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,127.27
P/E,
Price,2.83
Change,0.00%
Volume,0}
{No.,2528
Ticker,DHY
Company,Credit Suisse High Yield Credit Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,205.15
P/E,16.50
Price,1.98
Change,0.00%
Volume,0}
{No.,2529
Ticker,DIA
Company,SPDR Dow Jones Industrial Average ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,497.61
Change,0.35%
Volume,6653}
{No.,2530
Ticker,DIAL
Company,Columbia Diversified Fixed Income Allocation ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,18.56
Change,0.00%
Volume,0}
{No.,2531
Ticker,DIAX
Company,Nuveen Dow 30SM Dynamic Overwrite Fund
Sector,Financial
Industry,Closed-End Fund - Equity
Country,USA
Market Cap,572.78
P/E,11.17
Price,15.75
Change,0.00%
Volume,0}
{No.,2532
Ticker,DIBS
Company,1stdibs.com Inc
Sector,Communication Services
Industry,Internet Content & Information
Country,USA
Market Cap,184.90
P/E,
Price,5.05
Change,0.00%
Volume,0}
{No.,2533
Ticker,DIEM
Company,Franklin Emerging Market Core Dividend Tilt Index ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.69
Change,0.00%
Volume,0}
{No.,2534
Ticker,DIG
Company,ProShares Ultra Energy
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.49
Change,0.00%
Volume,0}
{No.,2535
Ticker,DIHP
Company,Dimensional International High Profitability ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.58
Change,0.00%
Volume,0}
{No.,2536
Ticker,DIM
Company,WisdomTree International MidCap Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,88.47
Change,0.00%
Volume,0}
{No.,2537
Ticker,DIME
Company,CoinShares Altcoins ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,8.74
Change,0.00%
Volume,0}
{No.,2538
Ticker,DIN
Company,Dine Brands Global Inc
Sector,Consumer Cyclical
Industry,Restaurants
Country,USA
Market Cap,475.41
P/E,14.74
Price,32.96
Change,0.00%
Volume,0}
{No.,2539
Ticker,DINO
Company,HF Sinclair Corp
Sector,Energy
Industry,Oil & Gas Refining & Marketing
Country,USA
Market Cap,10825.35
P/E,28.32
Price,58.85
Change,1.73%
Volume,12}
{No.,2540
Ticker,DINT
Company,Davis Select International ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.74
Change,0.00%
Volume,0}
{No.,2541
Ticker,DIOD
Company,Diodes
Sector,Technology
Industry,Semiconductors
Country,USA
Market Cap,3098.56
P/E,47.41
Price,67.54
Change,0.00%
Volume,0}
{No.,2542
Ticker,DIPS
Company,YieldMax Short NVDA Option Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.95
Change,0.00%
Volume,0}
{No.,2543
Ticker,DIS
Company,Walt Disney Co
Sector,Communication Services
Industry,Entertainment
Country,USA
Market Cap,187107.93
P/E,15.56
Price,105.62
Change,0.17%
Volume,1974}
{No.,2544
Ticker,DISO
Company,YieldMax DIS Option Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,11.04
Change,0.00%
Volume,0}
{No.,2545
Ticker,DISV
Company,Dimensional International Small Cap Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.50
Change,0.00%
Volume,0}
{No.,2546
Ticker,DIT
Company,Amcon Distributing Company
Sector,Consumer Defensive
Industry,Food Distribution
Country,USA
Market Cap,71.64
P/E,68.52
Price,110.10
Change,0.00%
Volume,0}
{No.,2547
Ticker,DIV
Company,Global X SuperDividend U.S. ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.53
Change,0.00%
Volume,0}
{No.,2548
Ticker,DIVB
Company,iShares Core Dividend ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,56.30
Change,0.00%
Volume,0}
{No.,2549
Ticker,DIVD
Company,Altrius Global Dividend ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.22
Change,0.00%
Volume,0}
{No.,2550
Ticker,DIVE
Company,Dana Concentrated Dividend ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.57
Change,0.00%
Volume,0}
{No.,2551
Ticker,DIVG
Company,Invesco S&P 500 High Dividend Growers ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,35.41
Change,0.00%
Volume,0}
{No.,2552
Ticker,DIVI
Company,Franklin International Core Dividend Tilt Index ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.48
Change,0.00%
Volume,0}
{No.,2553
Ticker,DIVL
Company,Madison Dividend Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.19
Change,0.00%
Volume,0}
{No.,2554
Ticker,DIVN
Company,Horizon Dividend Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,29.29
Change,0.00%
Volume,0}
{No.,2555
Ticker,DIVO
Company,Amplify CPW Enhanced Dividend Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.82
Change,0.43%
Volume,368}
{No.,2556
Ticker,DIVP
Company,Cullen Enhanced Equity Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.22
Change,0.00%
Volume,0}
{No.,2557
Ticker,DIVS
Company,Guinness Atkinson Dividend Builder ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,33.17
Change,0.00%
Volume,0}
{No.,2558
Ticker,DIVY
Company,Sound Equity Dividend Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.95
Change,0.00%
Volume,0}
{No.,2559
Ticker,DIVZ
Company,Polen Dividend Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.00
Change,0.00%
Volume,0}
{No.,2560
Ticker,DJAN
Company,FT Vest U.S. Equity Deep Buffer ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.45
Change,0.00%
Volume,0}
{No.,2561
Ticker,DJCO
Company,Daily Journal Corporation
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,657.08
P/E,7.04
Price,476.93
Change,0.00%
Volume,0}
{No.,2562
Ticker,DJD
Company,Invesco Dow Jones Industrial Average Dividend ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,62.32
Change,0.00%
Volume,0}
{No.,2563
Ticker,DJIA
Company,Global X Dow 30 Covered Call ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.48
Change,0.00%
Volume,0}
{No.,2564
Ticker,DJP
Company,iPath Bloomberg Commodity Total Return ETN
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.08
Change,0.00%
Volume,0}
{No.,2565
Ticker,DJT
Company,Trump Media & Technology Group Corp
Sector,Communication Services
Industry,Internet Content & Information
Country,USA
Market Cap,2789.86
P/E,
Price,10.09
Change,1.82%
Volume,22284}
{No.,2566
Ticker,DJTU
Company,T-REX 2X Long DJT Daily Target ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,2.10
Change,4.48%
Volume,4858}
{No.,2567
Ticker,DJUL
Company,FT Vest U.S. Equity Deep Buffer ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.69
Change,0.00%
Volume,0}
{No.,2568
Ticker,DJUN
Company,FT Vest U.S. Equity Deep Buffer ETF - June
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.55
Change,0.00%
Volume,0}
{No.,2569
Ticker,DK
Company,Delek US Holdings Inc
Sector,Energy
Industry,Oil & Gas Refining & Marketing
Country,USA
Market Cap,2102.40
P/E,
Price,35.01
Change,0.00%
Volume,0}
{No.,2570
Ticker,DKI
Company,Darkiris Inc
Sector,Communication Services
Industry,Electronic Gaming & Multimedia
Country,Hong Kong
Market Cap,7.25
P/E,
Price,0.41
Change,0.00%
Volume,0}
{No.,2571
Ticker,DKL
Company,Delek Logistics Partners LP
Sector,Energy
Industry,Oil & Gas Refining & Marketing
Country,USA
Market Cap,2902.92
P/E,17.57
Price,54.28
Change,0.00%
Volume,0}
{No.,2572
Ticker,DKNG
Company,DraftKings Inc
Sector,Consumer Cyclical
Industry,Gambling
Country,USA
Market Cap,20023.72
P/E,
Price,22.60
Change,0.04%
Volume,2512}
{No.,2573
Ticker,DKNX
Company,Defiance Daily Target 2X Long DKNG ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,3.80
Change,1.57%
Volume,3911}
{No.,2574
Ticker,DKS
Company,Dicks Sporting Goods
Sector,Consumer Cyclical
Industry,Specialty Retail
Country,USA
Market Cap,18547.16
P/E,16.58
Price,206.15
Change,0.00%
Volume,0}
{No.,2575
Ticker,DKUP
Company,T-REX 2X Long DKNG Daily Target ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,4.85
Change,0.00%
Volume,0}
{No.,2576
Ticker,DLAG
Company,FT Vest U.S. Equity Dual Directional Buffer ETF - August
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,31.38
Change,0.00%
Volume,0}
{No.,2577
Ticker,DLB
Company,Dolby Laboratories Inc
Sector,Industrials
Industry,Specialty Business Services
Country,USA
Market Cap,6081.11
P/E,25.67
Price,63.65
Change,0.00%
Volume,0}
{No.,2578
Ticker,DLHC
Company,DLH Holdings Corp
Sector,Industrials
Industry,Specialty Business Services
Country,USA
Market Cap,79.71
P/E,
Price,5.50
Change,0.00%
Volume,0}
{No.,2579
Ticker,DLLL
Company,GraniteShares 2x Long DELL Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,18.75
Change,0.00%
Volume,0}
{No.,2580
Ticker,DLN
Company,WisdomTree U.S. LargeCap Dividend Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,92.97
Change,0.00%
Volume,0}
{No.,2581
Ticker,DLNG
Company,Dynagas LNG Partners LP
Sector,Energy
Industry,Oil & Gas Midstream
Country,Greece
Market Cap,142.84
P/E,2.52
Price,3.91
Change,0.00%
Volume,0}
{No.,2582
Ticker,DLNV
Company,FT Vest U.S. Equity Dual Directional Buffer ETF - November
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,31.25
Change,0.00%
Volume,0}
{No.,2583
Ticker,DLO
Company,DLocal Limited
Sector,Technology
Industry,Software - Infrastructure
Country,USA
Market Cap,3545.57
P/E,20.48
Price,12.03
Change,1.52%
Volume,131}
{No.,2584
Ticker,DLPN
Company,Dolphin Entertainment Inc
Sector,Communication Services
Industry,Advertising Agencies
Country,USA
Market Cap,17.82
P/E,
Price,1.47
Change,0.00%
Volume,0}
{No.,2585
Ticker,DLR
Company,Digital Realty Trust Inc
Sector,Real Estate
